              Procedure           Image            Address        Calls Instructions
_ZN14RingMultiplier11reconstructEPN3NTL2ZZEPmlRKS1_       IDASH2017             41f4f0          110  10687071948
_ZN14RingMultiplier14addNTTAndEqualEPmS0_l       IDASH2017             41f470           12    226047940
_ZN14RingMultiplier3CRTEPmPN3NTL2ZZEl       IDASH2017             41ef30           70   2070226839
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN14RingMultiplier8multDNTTEPNS_2ZZEPmS5_lRKS3_EUlllE_E3runEl       IDASH2017             41edd0           97    827199296
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN14RingMultiplier9squareNTTEPNS_2ZZEPmlRKS3_EUlllE_E3runEl       IDASH2017             41ec90           28    168992770
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN14RingMultiplier15multNTTAndEqualEPNS_2ZZEPmlRKS3_EUlllE_E3runEl       IDASH2017             41e500           14     59018132
_ZN14RingMultiplier4INTTEPml       IDASH2017             41e000         6049  59979549763
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN14RingMultiplier3CRTEPmPNS_2ZZElEUlllE_E3runEl       IDASH2017             41df00           70    297177533
_ZN14RingMultiplier3NTTEPml       IDASH2017             41dda0         3685  44671802032
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN14RingMultiplier11reconstructEPNS_2ZZEPmlRKS3_EUlllE_E3runEl       IDASH2017             41da70          139   1800429334
_ZN4Ring10leftRotateEPN3NTL2ZZES2_l       IDASH2017             41b140           68    100976230
_ZN4Ring18rightShiftAndEqualEPN3NTL2ZZEl       IDASH2017             41b100          118     53998404
_ZN4Ring19multByConstAndEqualEPN3NTL2ZZERS1_RKS1_       IDASH2017             41ad90            6      3141373
_ZN4Ring11multByConstEPN3NTL2ZZES2_RS1_RKS1_       IDASH2017             41ad40           12      7071526
_ZN4Ring11subAndEqualEPN3NTL2ZZES2_RKS1_       IDASH2017             41a3d0           12     14929969
_ZN4Ring3subEPN3NTL2ZZES2_S2_RKS1_       IDASH2017             41a300            4      4682215
_ZN4Ring11addAndEqualEPN3NTL2ZZES2_RKS1_       IDASH2017             41a2b0          132     77664370
_ZN4Ring11modAndEqualEPN3NTL2ZZERKS1_       IDASH2017             419ff0           20      9169094
_ZN4Ring3modEPN3NTL2ZZES2_RKS1_       IDASH2017             419ec0            4      4675980
_ZN4Ring9squareNTTEPN3NTL2ZZEPmlRKS1_       IDASH2017             419ea0            4            8
_ZN4Ring15multNTTAndEqualEPN3NTL2ZZEPmlRKS1_       IDASH2017             419e80            2            4
_ZN4Ring8multDNTTEPN3NTL2ZZEPmS3_lRKS1_       IDASH2017             419e60          104          208
_ZN4Ring14addNTTAndEqualEPmS0_l       IDASH2017             419e30           12           24
_ZN4Ring3CRTEPmPN3NTL2ZZEl       IDASH2017             419e20           70          140
_ZN10Ciphertext4copyERS_       IDASH2017             418cd0            3      2516392
_ZN10Ciphertext10copyParamsERS_       IDASH2017             418cb0           46          322
  _ZN10CiphertextC2Elll       IDASH2017             4189c0           16      5071536
    _ZN10CiphertextD2Ev       IDASH2017             418860           16     18775797
_ZN6TestGD11testEncNLGDEPPdS1_lllbllddb       IDASH2017             4144a0            0           18
_ZN3NTL15BasicThreadPool6workerEPNS0_15CompositeSignalIPNS0_14ConcurrentTaskElEE       IDASH2017             412330            0        16518
      _Z12startProfilei       IDASH2017             40e6a0            1            5
_ZN3NTL13PartitionInfoC1Ell       IDASH2017             40e5d0           54         1596
_ZN8CipherGD16encNLGDiterationElP10CiphertextS1_S1_Pmlddlllll       IDASH2017             40daf0            1          351
_ZN8CipherGD10encSigmoidElP10CiphertextS1_RS0_ldllll       IDASH2017             40a650            1          691
_ZN8CipherGD15encInnerProductER10CiphertextPS0_S2_Pmllll       IDASH2017             409d50            1          448
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN8CipherGD10encSigmoidElP10CiphertextS4_RS3_ldllllEUlllE0_E3runEl       IDASH2017             408280            1          150
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN8CipherGD11encNLGDstepEP10CiphertextS4_S4_dllEUlllE_E3runEl       IDASH2017             407e80            1          127
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN8CipherGD15encInnerProductER10CiphertextPS3_S5_PmllllEUlllE_E3runEl       IDASH2017             4079c0            1          167
_ZN3NTL15BasicThreadPool18ConcurrentTaskFct1IZN8CipherGD10encSigmoidElP10CiphertextS4_RS3_ldllllEUlllE2_E3runEl       IDASH2017             407890            1          301
_ZnwmRKSt9nothrow_t@plt       IDASH2017             404970            5            5
              frexp@plt       IDASH2017             404910           10           10
pthread_setspecific@plt       IDASH2017             4048e0            5            5
__cxa_guard_acquire@plt       IDASH2017             4048c0            1            1
              floor@plt       IDASH2017             404840           10           10
            realloc@plt       IDASH2017             4047e0       655332       655359
_ZNSt18condition_variable4waitERSt11unique_lockISt5mutexE@plt       IDASH2017             404780          402          402
 pthread_mutex_lock@plt       IDASH2017             4046b0          816          816
         __gmpn_mul@plt       IDASH2017             404670      1179368      1179546
             malloc@plt       IDASH2017             404600      9173208      9173569
             _ZdaPv@plt       IDASH2017             4045b0          306          306
      __gmpn_rshift@plt       IDASH2017             404580      7725774      7727676
               free@plt       IDASH2017             404560      9171962      9172006
       __gmpn_add_n@plt       IDASH2017             404430      6705095      6705122
pthread_mutex_unlock@plt       IDASH2017             404330          814          814
__cxa_guard_release@plt       IDASH2017             4042a0            1            1
     __gmpn_tdiv_qr@plt       IDASH2017             404290     17169394     17169771
    __gmpn_addmul_1@plt       IDASH2017             404270    396156364    396186257
 pthread_key_create@plt       IDASH2017             404230            1            1
             memset@plt       IDASH2017             404200          110          110
_ZNSt18condition_variable10notify_oneEv@plt       IDASH2017             4041c0          408          408
       __gmpn_sub_n@plt       IDASH2017             404110     13733334     13733711
      __gmpn_lshift@plt       IDASH2017             404060           20           20
               ceil@plt       IDASH2017             403ff0           51           51
              _Znam@plt       IDASH2017             403fb0          306          306
                   .plt       IDASH2017             403fa0            1            2
